sku,precio,proveedor,sku_original,url,scraped_at,raw_id
EQ-CEN-YOR-002,41615.92,Grupo Coresa,COR-181029-00001702,https://www.grupocoresa.com/juego-dividido-tipo-americano-5tr-s-f-r410a-220-1-60-13seer-2071,2025-12-26 19:25:26.188819+00,1234
EQ-CEN-YOR-002,41615.92,Grupo Coresa,COR-181029-00001702,https://www.grupocoresa.com/juego-dividido-tipo-americano-5tr-s-f-r410a-220-1-60-13seer-2071,2025-12-26 19:25:26.188819+00,1235
EQ-PAQ-YOR-001,347199.3,Grupo Coresa,COR-181029-00002012,https://www.grupocoresa.com/paquete-25tr-s-f-r410a-220-3-60-10eer-2102,2025-12-26 19:25:26.188819+00,1236
EQ-PAQ-YOR-001,347199.3,Grupo Coresa,COR-181029-00002012,https://www.grupocoresa.com/paquete-25tr-s-f-r410a-220-3-60-10eer-2102,2025-12-26 19:25:26.188819+00,1237
EQ-CEN-YOR-003,49361.45,Grupo Coresa,COR-181029-00004702,https://www.grupocoresa.com/juego-dividido-tipo-americano-3tr-h-p-r410a-220-1-60-13seer-2074,2025-12-26 19:25:26.188819+00,1238
EQ-CEN-YOR-003,49361.45,Grupo Coresa,COR-181029-00004702,https://www.grupocoresa.com/juego-dividido-tipo-americano-3tr-h-p-r410a-220-1-60-13seer-2074,2025-12-26 19:25:26.188819+00,1239
EQ-FAN-YOR-001,14422.62,Grupo Coresa,COR-181029-00005302,https://www.grupocoresa.com/fan-coil-agua-3tr-s-f-4h-2m-120-1-60-der-2035,2025-12-26 19:25:26.188819+00,1240
EQ-FAN-YOR-001,14422.62,Grupo Coresa,COR-181029-00005302,https://www.grupocoresa.com/fan-coil-agua-3tr-s-f-4h-2m-120-1-60-der-2035,2025-12-26 19:25:26.188819+00,1241
EQ-PAQ-YOR-002,33887.92,Grupo Coresa,COR-181029-00005602,https://www.grupocoresa.com/paquete-3tr-h-p-r410a-220-1-60-14-seer-2065,2025-12-26 19:25:26.188819+00,1242
EQ-PAQ-YOR-002,33887.92,Grupo Coresa,COR-181029-00005602,https://www.grupocoresa.com/paquete-3tr-h-p-r410a-220-1-60-14-seer-2065,2025-12-26 19:25:26.188819+00,1243
EQ-PAQ-YOR-003,47265.95,Grupo Coresa,COR-181029-00006602,https://www.grupocoresa.com/paquete-4tr-h-p-r410a-220-1-60-14seer-2066,2025-12-26 19:25:26.188819+00,1244
EQ-PAQ-YOR-003,47265.95,Grupo Coresa,COR-181029-00006602,https://www.grupocoresa.com/paquete-4tr-h-p-r410a-220-1-60-14seer-2066,2025-12-26 19:25:26.188819+00,1245
EQ-PIT-YOR-001,1580.7,Grupo Coresa,COR-181029-00006802,https://www.grupocoresa.com/evaporadora-pisotecho-1-5tr-s-f-230-1-60-2086,2025-12-26 19:25:26.188819+00,1246
EQ-PIT-YOR-001,1580.7,Grupo Coresa,COR-181029-00006802,https://www.grupocoresa.com/evaporadora-pisotecho-1-5tr-s-f-230-1-60-2086,2025-12-26 19:25:26.188819+00,1247
EQ-MSO-1T220-006,4701.9,Grupo Coresa,COR-181029-00007912,https://www.grupocoresa.com/minisplit-1tr-h-p-220v-r410a-ef-estandar-11-3seer-2197,2025-12-26 19:25:26.188819+00,1248
EQ-MSO-1T220-006,4701.9,Grupo Coresa,COR-181029-00007912,https://www.grupocoresa.com/minisplit-1tr-h-p-220v-r410a-ef-estandar-11-3seer-2197,2025-12-26 19:25:26.188819+00,1249
EQ-MAN-YOR-001,107023.8,Grupo Coresa,COR-181029-00007991,https://www.grupocoresa.com/manejadora-20tr-s-f-r410a-220-460-3-60-dual-11eer-1997,2025-12-26 19:25:26.188819+00,1250
EQ-MAN-YOR-001,107023.8,Grupo Coresa,COR-181029-00007991,https://www.grupocoresa.com/manejadora-20tr-s-f-r410a-220-460-3-60-dual-11eer-1997,2025-12-26 19:25:26.188819+00,1251
EQ-CEN-YOR-004,29838.83,Grupo Coresa,COR-181029-00008602,https://www.grupocoresa.com/juego-dividido-tipo-americano-2tr-s-f-r410a-220-1-60-13seer-2068,2025-12-26 19:25:26.188819+00,1252
